family,name,type,offerId,processName,partialURL,Install,Play
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt French Voice-Over Pack,dlc,Origin.OFR.50.0001014,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-french-voice-over-pack?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt German Voice-Over Pack,dlc,Origin.OFR.50.0001020,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-german-voice-over-pack,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Japanese Voice-Over Pack,dlc,Origin.OFR.50.0001015,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-japanese-voice-over-pack?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Polish Voice-Over Pack,dlc,Origin.OFR.50.0001016,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-polish-voice-over-pack?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Russian Voice-Over Pack,dlc,Origin.OFR.50.0001017,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-russian-voice-over-pack?,,
witcher/the-witcher-wild-hunt,THE WITCHER® 3: Blood and Wine Extras,images,Origin.OFR.50.0001469,,,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Artbook,digitalbook,Origin.OFR.50.0000829,,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-artbook?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Artworks,digitalbook,Origin.OFR.50.0000830,,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-artworks?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Digital Map,images,Origin.OFR.50.0000832,,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-digital-map?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Expansion Pass,ulc,Origin.OFR.50.0000982,,/store/witcher/the-witcher-wild-hunt/expansion/the-witcher-3-wild-hunt-expansion-pass,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Official Soundtrack,soundtrack,Origin.OFR.50.0000833,,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-official-soundtrack?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Premium Wallpapers,images,Origin.OFR.50.0000831,,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-premium-wallpapers?,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt - Hearts of Stone,dlc,Origin.OFR.50.0000988,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt--hearts-of-stone?,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt Blood and Wine,dlc,Origin.OFR.50.0000989,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-blood-and-wine?,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt Brazilian Portuguese Voice-Over Pack,dlc,Origin.OFR.50.0001036,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-brazilian-portuguese-voice-over-pack?,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt English Voice-Over Pack,dlc,Origin.OFR.50.0001019,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-english-voice-over-pack?,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt French Voice-Over Pack,dlc,Origin.OFR.50.0001014,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-french-voice-over-pack?,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt Game of the Year,base,Origin.OFR.50.0001672,witcher3.exe,/store/witcher/the-witcher-wild-hunt/game-of-the-year-edition,Automatable,Automatable
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt German Voice-Over Pack,dlc,Origin.OFR.50.0001020,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-german-voice-over-pack,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt Japanese Voice-Over Pack,dlc,Origin.OFR.50.0001015,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-japanese-voice-over-pack?,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt Polish Voice-Over Pack,dlc,Origin.OFR.50.0001016,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-polish-voice-over-pack?,,
witcher/the-witcher-wild-hunt-game-of-the-year,The Witcher® 3: Wild Hunt Russian Voice-Over Pack,dlc,Origin.OFR.50.0001017,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-russian-voice-over-pack?,,
witcher/the-witcher-wild-hunt-game-of-the-year,THE WITCHER® 3: Blood & Wine Soundtrack,soundtrack,Origin.OFR.50.0001728,,,,
witcher/the-witcher-wild-hunt-game-of-the-year,THE WITCHER® 3: Blood and Wine Extras,images,Origin.OFR.50.0001469,,,,
